ID,NOM,Coord X,Coord Y,Coord X Y,LAT,LONG
511,Circular acer inox. 60 L.,415890,4573049,"(415890, 4573049)",41.30451666751407,1.9952675501609776
512,Circular acer inox. 60 L.,415883,4573068,"(415883, 4573068)",41.304687058770654,1.9951813171192476
513,Circular acer inox. 60 L.,415853,4573141,"(415853, 4573141)",41.30534139532741,1.9948129076630907
514,Circular acer inox. 60 L.,415867,4573148,"(415867, 4573148)",41.30540590009157,1.9949791533898518
515,Circular acer inox. 60 L.,415840,4573192,"(415840, 4573192)",41.30579936411643,1.9946505818630522
516,Circular txapa pintada gris 60 L.,415811,4573251,"(415811, 4573251)",41.30632771393177,1.994296042333012
517,Circular txapa pintada gris 60 L.,417233,4573196,"(417233, 4573196)",41.305979510881855,2.0112879913425306
518,Circular acer inox. 60 L.,417227,4573188,"(417227, 4573188)",41.30590684395197,2.0112174157846607
519,Circular txapa pintada gris 60 L.,417218,4573175,"(417218, 4573175)",41.305788837062735,2.0111116888260296
520,Circular acer inox. 60 L.,417201,4573178,"(417201, 4573178)",41.30581411165513,2.010908232715949
521,Circular txapa pintada gris 60 L.,417186,4573181,"(417186, 4573181)",41.305839591200105,2.0107286644451072
522,Circular acer inox. 60 L.,417236,4573226,"(417236, 4573226)",41.30625001111803,2.0113197416611386
523,Circular acer inox. 60 L.,417141,4573123,"(417141, 4573123)",41.30531259849726,2.0101990849632076
524,Circular acer inox. 60 L.,417153,4573114,"(417153, 4573114)",41.30523277320215,2.010343637429112
525,Circular acer inox. 60 L.,417090,4573060,"(417090, 4573060)",41.304739954739816,2.0095985326288424
526,Circular acer inox. 60 L.,417111,4573058,"(417111, 4573058)",41.30472409982821,2.0098496247427957
527,Circular acer inox. 60 L.,417080,4573045,"(417080, 4573045)",41.304603830786796,2.009481139303043
528,Circular txapa pintada gris 60 L.,417068,4573028,"(417068, 4573028)",41.30444948830027,2.0093401316295005
529,Circular txapa pintada gris 60 L.,417043,4572972,"(417043, 4572972)",41.30394255892905,2.0090491745358037
530,Circular acer inox. 60 L.,417032,4572958,"(417032, 4572958)",41.30381533799909,2.008919703766278
531,Circular txapa pintada gris 60 L.,417017,4572966,"(417017, 4572966)",41.30388584656017,2.008739458267897
532,Circular acer inox. 60 L.,417018,4572940,"(417018, 4572940)",41.30365178271596,2.0087549483119225
533,Circular acer inox. 60 L.,416973,4572909,"(416973, 4572909)",41.303367954206294,2.0082217175453496
534,Circular acer inox. 60 L.,416989,4572907,"(416989, 4572907)",41.30335158779979,2.008413087000229
535,Circular txapa pintada gris 60 L.,417001,4572906,"(417001, 4572906)",41.303343815991234,2.0085565458198893
536,Circular acer inox. 60 L.,416930,4572829,"(416930, 4572829)",41.30264301509318,2.0077190687962636
537,Circular acer inox. 60 L.,416880,4572790,"(416880, 4572790)",41.30228661550488,2.007127226953752
538,Circular acer inox. 60 L.,416828,4572690,"(416828, 4572690)",41.301380615817195,2.006519843636332
539,Circular txapa pintada gris 60 L.,416802,4572667,"(416802, 4572667)",41.30117078783094,2.006212466321884
540,Circular txapa pintada gris 60 L.,416787,4572672,"(416787, 4572672)",41.301214273008824,2.006032635617633
541,Circular acer inox. 60 L.,416756,4572646,"(416756, 4572646)",41.30097690867795,2.0056659556254695
542,Circular txapa pintada gris 60 L.,416779,4572640,"(416779, 4572640)",41.30092524283849,2.005941467338368
