ID,NOM,Fabricante,Coord X,Coord Y,Coord X Y,LAT,LONG
386,Neoromántico liviano de Santa_Cole,Santa_Cole,416060,4573607,"(416060, 4573607)",41.30955993057919,1.9972209768088793
387,Neoromántico liviano de Santa_Cole,Santa_Cole,416081,4573610,"(416081, 4573610)",41.30958913478506,1.9974713999991216
388,Neoromántico liviano de Santa_Cole,Santa_Cole,416100,4573607,"(416100, 4573607)",41.309564092186676,1.9976987618477642
389,Neoromántico liviano de Santa_Cole,Santa_Cole,416107,4573597,"(416107, 4573597)",41.309474756538975,1.9977837536174505
390,Neoromántico liviano de Santa_Cole,Santa_Cole,416109,4573596,"(416109, 4573596)",41.30946595817664,1.9978077807741639
391,Neoromántico liviano de Santa_Cole,Santa_Cole,416111,4573596,"(416111, 4573596)",41.309466166181934,1.9978316699937142
392,Neoromántico liviano de Santa_Cole,Santa_Cole,416116,4573602,"(416116, 4573602)",41.309520724410625,1.9978905655070072
393,Neoromántico liviano de Santa_Cole,Santa_Cole,416170,4573589,"(416170, 4573589)",41.30940925548526,1.9985373669185884
394,Neoromántico liviano de Santa_Cole,Santa_Cole,416204,4573583,"(416204, 4573583)",41.30935875006772,1.9989443100878872
395,Neoromántico liviano de Santa_Cole,Santa_Cole,416236,4573577,"(416236, 4573577)",41.309308035514476,1.9993273634837938
396,Neoromántico liviano de Santa_Cole,Santa_Cole,416450,4573502,"(416450, 4573502)",41.308654751310534,2.0018938091779725
397,Neoromántico liviano de Santa_Cole,Santa_Cole,416447,4573492,"(416447, 4573492)",41.308564376718685,2.00185934947341
398,Neoromántico liviano de Santa_Cole,Santa_Cole,416450,4573493,"(416450, 4573493)",41.308573693843336,2.0018950454862416
399,Neoromántico liviano de Santa_Cole,Santa_Cole,416445,4573492,"(416445, 4573492)",41.30856416955294,2.0018354605536515
400,Neoromántico liviano de Santa_Cole,Santa_Cole,416452,4573493,"(416452, 4573493)",41.308573900996755,2.0019189344099098
401,Neoromántico liviano de Santa_Cole,Santa_Cole,416456,4573506,"(416456, 4573506)",41.308691398299075,2.001964926605935
402,Neoromántico liviano de Santa_Cole,Santa_Cole,416477,4573508,"(416477, 4573508)",41.30871158578754,2.002215486125736
403,Neoromántico liviano de Santa_Cole,Santa_Cole,416479,4573508,"(416479, 4573508)",41.30871179287502,2.0022393751020697
404,Neoromántico liviano de Santa_Cole,Santa_Cole,416479,4573508,"(416479, 4573508)",41.30871179287502,2.0022393751020697
405,Neoromántico liviano de Santa_Cole,Santa_Cole,416481,4573509,"(416481, 4573509)",41.30872100634366,2.002263126761321
406,Neoromántico liviano de Santa_Cole,Santa_Cole,416474,4573507,"(416474, 4573507)",41.308702268761145,2.002179789990475
407,Neoromántico liviano de Santa_Cole,Santa_Cole,416487,4573512,"(416487, 4573512)",41.30874864672049,2.0023343817796357
408,Neoromántico liviano de Santa_Cole,Santa_Cole,416490,4573513,"(416490, 4573513)",41.30875796369939,2.0023700779630276
409,Neoromántico liviano de Santa_Cole,Santa_Cole,416489,4573519,"(416489, 4573519)",41.308811898487235,2.002357309638011
410,Neoromántico liviano de Santa_Cole,Santa_Cole,416482,4573518,"(416482, 4573518)",41.3088021673576,2.002273835407353
411,Neoromántico liviano de Santa_Cole,Santa_Cole,416476,4573515,"(416476, 4573515)",41.30877452694317,2.0022025803575225
