X,Y,objectid,id,capacitat,residu,nom_barri,adress,streetview,globalid
417837.489,4574685.4654,1236,573,3500,Rebuig,La Torre-roja-Campreciós,"Carretera de Sant Climent  , 4","http://maps.google.com/maps?layer=c&cbll=41.319467,2.018505&cbp=12,242.85,,0,-2",{6B4F48F3-8A29-413E-A8F3-C552725AADA3}
417836.8624,4574686.6329,1237,574,1800,Orgànic,La Torre-roja-Campreciós,"Carretera de Sant Climent  , 4","http://maps.google.com/maps?layer=c&cbll=41.319467,2.018505&cbp=12,242.85,,0,-2",{435EBD7E-93FA-43F6-8E62-7E1BD14D5C6D}
417834.8645,4574690.3556,1238,575,3500,Cartró,La Torre-roja-Campreciós,"Carretera de Sant Climent  , 4","http://maps.google.com/maps?layer=c&cbll=41.319467,2.018505&cbp=12,242.85,,0,-2",{42D92ADC-3E5C-4B93-A10C-1D2BED909E6A}
417503.7605,4574880.7226,1239,576,3500,Rebuig,L'Eixample Centre,"Carrer de la Muntanya, 89","http://maps.google.com/maps?layer=c&cbll=41.321226,2.014458&cbp=12,242.85,,0,-2",{075820E4-5062-410A-B21D-FFEA560514F8}
417502.5976,4574881.9626,1240,577,3500,Rebuig,L'Eixample Centre,"Carrer de la Muntanya, 89","http://maps.google.com/maps?layer=c&cbll=41.321226,2.014458&cbp=12,242.85,,0,-2",{1BD70E39-C6B0-484A-AB9C-42DAAF8BF9D9}
417501.6912,4574882.9291,1241,578,1800,Orgànic,L'Eixample Centre,"Carrer de la Muntanya, 89","http://maps.google.com/maps?layer=c&cbll=41.321226,2.014458&cbp=12,242.85,,0,-2",{D6D4EB01-E515-402E-8BE9-B92A29F5F036}
417500.7848,4574883.8956,1242,579,3500,Envasos,L'Eixample Centre,"Carrer de la Muntanya, 89","http://maps.google.com/maps?layer=c&cbll=41.321226,2.014458&cbp=12,242.85,,0,-2",{19DEE5E3-01D8-45CC-B4E0-CED8C6607275}
417499.7929,4574884.9532,1243,580,2400,Vidre,L'Eixample Centre,"Carrer de la Muntanya, 89","http://maps.google.com/maps?layer=c&cbll=41.321226,2.014458&cbp=12,242.85,,0,-2",{4BF6D9DF-4C06-4E68-B8A3-3777B25D54A4}
417498.801,4574886.0109,1244,581,3500,Cartró,L'Eixample Centre,"Carrer de la Muntanya, 89","http://maps.google.com/maps?layer=c&cbll=41.321226,2.014458&cbp=12,242.85,,0,-2",{5C708FF6-AB73-48C0-8AE0-0243E9CDFDC4}
417446.173,4575246.9002,1245,583,3200,Cartró,El Ginestar,"Carretera de Sant Climent  , 77","http://maps.google.com/maps?layer=c&cbll=41.324415,2.013492&cbp=12,242.85,,0,-2",{EBA844C6-65AF-4610-AE67-39B4757D1284}
417449.951,4575241.8346,1246,584,3200,Rebuig,El Ginestar,"Carretera de Sant Climent  , 77","http://maps.google.com/maps?layer=c&cbll=41.324415,2.013492&cbp=12,242.85,,0,-2",{EF40B154-385D-4AE5-A2B3-5A13DB19C777}
417445.0558,4575248.6506,1247,585,2400,Vidre,El Ginestar,"Carretera de Sant Climent  , 77","http://maps.google.com/maps?layer=c&cbll=41.324415,2.013492&cbp=12,242.85,,0,-2",{BDEF9DF4-5648-448F-BB8D-785FDFCD487C}
417443.8247,4575250.2344,1248,586,3200,Envasos,El Ginestar,"Carretera de Sant Climent  , 77","http://maps.google.com/maps?layer=c&cbll=41.324415,2.013492&cbp=12,242.85,,0,-2",{29973ED5-A47D-48CF-89F5-F7441A353984}
417448.6838,4575243.4158,1249,587,1800,Orgànic,El Ginestar,"Carretera de Sant Climent  , 77","http://maps.google.com/maps?layer=c&cbll=41.324415,2.013492&cbp=12,242.85,,0,-2",{EBBB4150-BE5C-447D-8157-6B42A8CD1750}
416972.6213,4573819.4811,1250,1456,,Roba,Can Palmer-Can Batllori,"Avinguda de Can Batllori, 3","http://maps.google.com/maps?layer=c&cbll=41.311711,2.007773&cbp=12,242.85,,0,-2",{0174E43A-A60E-4B4C-966F-C9F14BE24C04}
417566.5837,4574362.0629,1251,1457,,Roba,L'Eixample Centre,"Carrer de Ricard Serrajòrdia, 33","http://maps.google.com/maps?layer=c&cbll=41.316444,2.015051&cbp=12,242.85,,0,-2",{2BE5827A-D89B-48C5-BADC-C57EFA118FC8}
417431.8179,4574693.5118,1252,1458,,Roba,L'Eixample Centre,"Carrer de la Mare de Déu de Montserrat, 76","http://maps.google.com/maps?layer=c&cbll=41.319506,2.013396&cbp=12,242.85,,0,-2",{8732CB49-63C2-4669-B6BB-BBA3DF66F340}
417190.4762,4573631.4089,1254,1461,,Roba,Can Sellarès,"Avinguda del Doctor Fleming, 9","http://maps.google.com/maps?layer=c&cbll=41.309742,2.010332&cbp=12,242.85,,0,-2",{F6044DD4-CCF3-4F70-B992-EC5A288ADF87}
418605.2672,4574363.601,1255,1462,,Roba,Barri de Sales,"Carretera del Prat, 49","http://maps.google.com/maps?layer=c&cbll=41.316589,2.027336&cbp=12,242.85,,0,-2",{D9894743-6B12-445A-947F-361491EC6560}
418350.0419,4574633.7551,1256,1463,,Roba,La Torre-roja-Campreciós,"Carretera de Barcelona (C-245), 41","http://maps.google.com/maps?layer=c&cbll=41.318790,2.024724&cbp=12,242.85,,0,-2",{BBFCA97B-9DB7-41FE-8750-3DE362A8DB19}
416934.7697,4574475.275,1257,450,3500,Rebuig,El Torrent Ballester,"Carrer del Canonge Doctor Auguet, 88","http://maps.google.com/maps?layer=c&cbll=41.317558,2.007437&cbp=12,242.85,,0,-2",{C2ACD523-DBAB-4B42-BB35-0366FE4F91BB}
